Frame,Unfilitered X,Unfiltered Y ,Filtered X ,Filtered Y
155,0.9486768,1.324966,0.9988261,0.9987159
156,0.6392977,0.7542722,1.006765,0.9778895
157,0.7037046,0.6287675,1.01024,0.9360097
158,1.353078,1.148906,1.006384,0.9644738
159,0.7697425,0.9464366,0.9982879,0.9688553
160,1.3041,0.5997636,1.006039,0.9291784
161,0.9851123,1.086544,1.00573,0.9325233
162,1.596823,1.205064,1.03514,0.9460835
163,1.258654,1.325056,1.072684,0.9943596
164,1.228002,1.272821,1.045508,1.028372
165,1.220745,0.6965053,1.024424,0.986787
166,1.161918,1.128097,1.044078,1.016443
167,1.037873,0.7997626,1.018341,1.038743
168,1.247558,1.018945,1.03735,1.040854
169,1.077706,0.852284,1.048033,1.011063
170,0.941291,0.760264,1.052469,0.9897022
171,1.121849,1.037534,1.049575,0.9859486
172,0.9169869,1.338067,1.041359,0.9811916
173,0.9204003,1.213377,1.051171,0.9993782
174,0.8684671,1.200185,1.028397,1.023736
175,1.180913,1.1,1.040087,1.035936
176,0.6921859,0.9866029,1.016953,1.044336
177,0.9917167,1.006593,0.9937641,1.05122
178,1.327301,0.9970779,1.027668,1.09392
179,0.7892343,0.8715515,1.014488,1.063715
180,0.8379723,1.089419,1.031336,1.047161
181,0.6494099,0.7985711,0.9953752,0.9998099
182,0.6536466,1.091404,0.966167,1.009795
183,1.199959,0.9748487,0.9987312,1.011161
184,0.8554718,0.7752902,0.9810752,0.964554
185,0.9020362,0.7832948,0.9823402,0.9599218
186,0.6606621,1.158527,0.9922225,0.9843335
187,1.242487,1.183367,0.9911206,0.9933195
188,1.381321,0.94665,0.9925615,1.016041
189,1.038502,0.8231982,1.034778,0.9934848
190,0.5972823,1.122575,1.044618,1.023451
191,0.8333467,1.345682,1.015719,1.014422
192,1.08029,1.057564,1.029799,1.00658
193,1.937184,0.3190265,1.074946,0.972371
194,1.130075,0.9908735,1.052109,0.9672592
195,0.7186042,1.23001,1.021931,0.9677019
196,1.152622,1.238902,1.046658,1.000398
197,0.7410688,0.7399302,1.024657,1.000131
198,0.7003949,1.30703,1.035156,1.021106
199,0.7674845,0.9216136,1.027909,1.031073
200,1.318086,0.8101976,1.02128,1.019808
201,0.07071108,1.848683,0.9739845,1.061049
202,0.8425236,1.020374,0.9286293,1.033183
203,0.8633019,1.224965,0.9380968,1.029523
204,1.287907,1.277584,0.9631215,1.024605
205,1.228227,1.16969,0.983972,1.019252
206,0.6750041,1.005469,0.9674176,0.9907995
207,0.6808616,0.9366373,0.9557852,0.9767528
208,0.8523008,0.79506,0.9631938,0.963594
209,1.258984,1.141999,0.9136094,0.981743
210,1.197653,1.373331,0.9344221,1.015959
211,0.5726034,1.087065,0.9187735,0.985357
212,1.153595,0.6242384,0.9092238,0.9731435
213,0.9167348,1.174873,0.9339793,0.9859748
214,0.6657509,0.6251397,0.9360985,0.9808505
215,0.7966252,1.2576,0.9498863,0.9803244
216,2.299196,0.9013354,1.031482,0.979168
217,0.7146649,0.7837706,1.011856,0.9901603
218,1.087036,0.9914309,1.022447,1.019483
219,0.9700825,0.7962344,1.016418,1.029229
220,0.7206161,0.8860653,1.001878,1.014972
221,0.7564337,0.9914817,0.9892242,1.004689
222,0.9567161,1.129392,1.007813,0.981845
223,1.003092,0.9336686,1.015852,1.002097
224,1.428544,1.356549,1.082209,0.9891164
225,0.7047691,1.14783,1.049631,1.032924
226,1.305211,0.9226589,1.082753,1.028044
227,1.273435,0.9886373,1.110419,1.020827
228,1.362472,1.354933,1.112211,1.025231
229,1.176353,0.773007,1.108934,1.007464
230,0.7207232,1.411703,1.065706,1.022925
231,0.9932142,1.294586,1.042655,1.026756
232,1.429088,1.114605,1.008857,1.000971
233,0.9034762,0.9457892,1.029547,0.995926
234,1.218952,0.7740765,1.042396,1.00156
235,1.102115,0.7569571,1.044056,1.012118
236,0.8395846,1.330333,0.9970651,1.044277
237,1.147817,1.230729,1.006422,1.033581
238,1.158652,1.18789,1.010607,1.056967
239,1.321707,-0.1604083,1.022128,0.9876178
240,1.185181,1.223496,1.031573,1.015394
241,1.085394,0.7284727,1.012532,0.9898102
242,1.138273,0.5869359,1.015813,0.9742131
243,0.8030375,1.207222,1.027706,1.010038
244,0.6526634,0.7606151,0.9804743,1.008201
245,0.7315336,0.9691172,0.9657474,0.972677
246,0.8610646,0.6449226,0.9629599,0.9654045
247,1.061682,1.363345,1.032297,1.032871
248,1.176189,1.042989,1.04115,1.026761
249,0.7090486,1.115922,1.009876,1.039272
250,1.11614,0.9534836,1.033859,1.056856
251,1.13627,0.8901008,1.036102,1.030196
252,1.051149,1.051611,1.051259,1.013504
253,1.165934,1.019705,1.043816,1.008735
254,1.367031,1.129295,1.048859,1.008358
255,1.313667,0.9264785,0.978645,0.9850174
256,1.170302,0.942331,0.9931566,0.9797165
257,1.045177,1.359271,0.9938957,1.034477
258,1.359267,0.7942412,1.011135,1.004123
259,1.027242,1.121194,1.036989,0.9835513
260,1.301345,1.176944,1.059479,1.018998
261,0.8394914,1.17496,1.065063,1.009627
262,0.4011065,0.9865496,1.032028,1.008479
263,1.233809,1.348446,1.065512,1.000616
264,1.146186,1.342037,1.054309,0.9981378
265,0.5897977,1.143267,1.027554,0.9804367
266,0.9476728,0.9475238,1.045594,0.9798054
267,1.124784,1.171127,1.026853,1.010133
268,0.9122173,0.7309078,1.048,0.9904234
269,0.8545507,1.158177,1.013968,1.021175
270,0.7582579,0.6804841,0.9877976,1.01361
271,1.123066,0.7333102,1.005434,0.9833934
272,0.9810739,1.109474,1.017783,1.011664
273,1.050303,1.350723,1.035854,1.045415
274,0.8064923,0.9760918,1.006628,1.01613
275,1.342924,1.074599,0.9955717,1.036942
276,0.7289455,1.212386,0.9909737,1.038007
277,0.6757834,1.237016,0.9757239,1.044909
278,1.309614,1.062459,1.037717,1.006757
279,1.016416,0.9697829,1.04746,0.9797331
280,1.327585,0.9232237,1.045969,0.992693
281,0.7455434,0.8166714,1.014125,0.9809094
282,0.7955777,0.934596,1.009222,0.9773602
283,1.231247,0.8921159,1.009507,0.9732157
284,0.7989032,1.379649,0.9820802,1.000047
285,1.225171,1.6606,1.001128,1.043633
286,1.415004,1.48412,1.030463,1.087679
287,1.137524,0.631003,1.047581,1.027939
288,0.7711899,0.8650456,1.023273,1.0191
289,1.226405,1.291939,1.047716,1.000301
290,0.7126743,1.245037,1.001037,0.9753181
291,1.022279,0.8782253,1.001335,0.9274371
292,1.085158,1.072324,1.002263,0.933405
293,0.9059997,1.409295,1.000365,0.9031063
294,0.7681661,0.8835407,0.9894801,0.9205368
295,0.6938998,0.7577454,0.9706044,0.9349645
296,1.017607,0.8587582,0.973303,0.9608291
297,0.7166022,0.8155189,0.966995,0.9630442
298,0.7819253,1.153849,0.9776563,1.004687
299,0.9169081,0.9336029,1.010714,0.9927303
300,1.102452,0.8444175,1.008227,0.9720947
301,1.144605,0.7805899,0.9694051,0.9108552
302,0.7478037,0.7876864,0.9577219,0.921804
303,1.426413,1.324202,0.9683822,0.9524816
304,1.150457,0.8342346,0.9875227,0.9216609
305,0.587531,1.27169,0.9707711,0.9410124
306,1.285651,0.9907604,1.001104,0.9512979
307,0.8860729,1.098871,0.9748053,0.9731519
308,0.8860729,1.098871,0.9748053,0.9731519
309,0.7886819,0.7752579,0.947295,0.9418072
310,0.7301527,0.6838977,0.9526665,0.9301584
311,1.15758,0.7399333,0.9579985,0.9347733
312,1.276904,0.9187725,0.9660708,0.9687171
313,1.191845,1.231584,0.9682615,0.9822227
314,1.16595,1.191318,1.006615,1.009866
315,0.6701492,1.114386,0.9784552,1.034758
316,1.246475,0.6400121,1.039289,1.009802
317,0.7907732,1.574617,1.034185,1.015824
318,1.296983,1.421732,1.052538,1.051962
319,0.8376862,1.009759,1.029743,1.018189
320,0.8791579,1.000472,1.008371,1.032803
321,0.7497009,1.129873,0.9778795,1.030906
322,1.041445,0.7137824,0.9981225,1.029332
323,1.179986,0.9837012,1.000773,1.038791
324,1.146875,1.045768,1.030413,1.017129
325,0.9223242,0.9489923,0.9857393,1.001523
326,1.06196,0.6712961,0.9773825,0.9853314
327,0.7277907,0.7402875,0.9968494,0.9541858
328,1.309497,0.9971564,1.029684,0.9406676
329,1.012308,1.1309,1.009164,0.9272864
330,0.8175757,1.016076,0.9954119,0.9334288
331,0.5895219,0.8375516,0.9661067,0.9250358
332,1.267811,0.8408808,0.9769803,0.9236881
333,0.9311485,0.8407942,0.9851966,0.9047065
334,1.193695,0.6903538,0.988699,0.9163615
335,0.779238,1.209323,0.9651786,0.9607126
336,0.713318,1.573691,0.9540361,0.9805642
337,1.219289,0.9678368,0.9523005,0.9735367
338,0.5350358,0.6613318,0.9426711,0.957518
339,0.9593583,0.8736199,0.913862,0.9255981
340,1.27892,0.9946243,0.9151912,0.9481553
341,0.8630059,0.6590326,0.9203392,0.9258356
342,1.201528,0.934328,0.9273447,0.939123
343,1.151945,1.301449,0.9648742,0.9621537
344,1.109986,1.279926,0.9812367,0.9880176
345,1.08883,0.7162243,0.9869002,0.9762902
346,0.7559817,0.6511821,0.9754109,0.9601145
347,0.9530628,1.270952,0.95551,0.9776003
348,1.021101,1.213971,0.940745,0.9673199
349,1.281528,0.9222327,0.9700264,0.9535577
350,0.7815441,1.320442,0.9878014,0.9642305
351,1.16762,0.7379681,1.020088,0.9718454
352,0.6451085,0.6164969,0.992421,0.9711205
353,1.113664,1.068179,1.013062,0.9784959
354,1.380518,1.003347,1.074553,0.9937375
355,0.8883745,1.1702,1.068763,0.9855647
356,1.052687,1.283541,1.051226,0.995845
357,0.6091391,1.281135,1.014452,0.9989345
358,0.7685338,1.332685,0.9919122,1.000904
359,0.7368556,0.8236828,1.003148,1.002402
360,1.217534,0.9739079,1.009261,1.0025
361,1.035686,1.314856,1.014492,1.022687
362,0.9193772,1.018022,0.985969,1.031256
363,1.012848,0.8241175,0.9696905,1.013583
364,0.7113395,0.8369977,0.9635009,1.020609
365,0.6279361,1.201283,0.9511425,1.057863
366,1.28966,1.208476,0.9413417,1.057962
367,1.106228,1.16006,0.9619883,1.050496
368,0.9681033,0.6902748,0.9790283,1.0132
369,0.881192,-0.09553468,0.9741606,0.9580352
370,0.8344282,0.8969968,0.9635061,0.9676974
371,0.6491522,0.649449,0.9577078,0.924972
372,1.212758,1.08048,0.963132,0.948328
373,1.094061,1.340094,0.951427,0.9642934
374,1.056046,0.6615732,0.9829251,0.9603017
375,0.6513247,1.013038,0.9578666,0.9659934
376,1.172648,0.6908532,0.9817799,0.9630185
377,1.061115,0.8954342,0.9785534,1.026685
378,1.298786,0.7562828,1.01458,1.03546
379,0.6534674,0.8146365,0.9906148,1.011184
380,0.5734804,1.396927,0.946856,1.030209
381,1.107876,1.161366,0.9420602,0.9999233
382,1.031157,0.6925749,0.9481548,0.9907649
383,0.9728957,0.9851267,0.9735644,1.033528
384,0.539154,0.8455226,0.9519504,1.024173
385,1.01224,1.241116,0.9577175,1.040544
386,0.8814587,1.287944,0.9628486,1.054646
387,1.224853,0.8158038,0.9529727,1.017989
388,1.295128,1.410603,0.9758094,1.030978
389,1.01617,0.6183562,1.004199,1.019119
390,0.7499623,1.077386,0.9648993,1.046536
391,0.6747911,0.6851722,0.942705,1.025101
392,0.6458306,0.761188,0.9340266,1.076419
393,1.311228,1.01975,0.9448336,1.089463
394,1.30254,0.8160751,0.9861603,1.077703
395,1.312911,1.006091,0.9857452,1.049743
396,1.295398,1.31401,0.9852198,1.090323
397,1.101017,1.349306,0.9883051,1.120213
398,1.267633,1.230272,0.992419,1.084852
399,1.126827,0.4753455,0.986289,1.04055
400,1.05118,0.9922553,1.017226,1.085122
401,0.9825417,1.116927,1.033636,1.086745
402,1.087027,0.9335161,1.038333,1.028638
403,1.092887,1.1702,1.024861,1.014436
404,0.9011787,0.7857191,1.034757,1.003306
405,0.3602728,0.4672716,0.9704323,0.9817298
406,1.174734,1.625217,1.003275,1.035118
407,0.3460448,1.201296,0.9774813,1.052927
408,0.3250764,1.028343,0.9450211,1.051704
409,0.9760632,1.096444,0.9806805,1.014233
410,1.291858,1.119955,0.9946051,1.043795
411,0.896136,1.320706,1.002669,1.032804
412,1.133344,0.9935066,0.9900007,1.026749
413,0.7903682,1.442327,0.9939288,1.022292
414,1.251871,1.281288,1.009509,1.041729
415,1.081661,0.7310565,1.013099,1.026272
416,1.263433,0.7327451,1.004779,0.9580362
417,0.9984969,1.150511,1.004039,0.9663999
418,0.8930432,1.131177,0.9876161,0.9840791
419,0.682535,1.192091,0.9489994,1.014884
420,1.226858,1.026528,0.9878865,1.003426
421,1.063039,1.218269,0.9516869,1.023535
422,1.180314,1.334397,0.9563846,1.022135
423,0.6681406,1.081444,0.917322,1.035026
424,1.102179,0.8512684,0.9562687,1.049017
425,0.6940679,1.188554,0.9559346,1.042943
426,0.9253516,1.172078,0.946283,1.033274
427,1.216464,0.7129546,0.9868418,1.035149
428,0.9151511,0.7089394,0.9919496,1.007686
429,0.8700889,1.250912,0.9790435,1.025886
430,0.7057036,0.7997173,0.96989,1.017863
431,0.7700394,1.045877,0.9389281,0.9838011
432,0.9219494,0.7223752,0.9383176,0.9509994
433,1.018621,1.051089,0.937121,0.9885948
434,1.270813,1.236805,0.9828125,0.9924155
435,0.6991328,1.124568,0.9611967,1.011769
436,0.9739382,1.39746,0.9674071,1.015512
437,1.088477,1.208732,0.9956803,1.038788
438,1.041725,1.19631,1.028892,0.9894266
439,1.126658,1.086449,1.016317,0.9854617
440,0.6542468,1.315177,1.008254,1.011443
441,1.147933,1.302176,1.014508,1.01739
442,1.145156,1.287267,1.01538,0.9884706
443,1.18231,0.9219407,1.037895,1.003672
444,1.171031,0.8830146,1.020717,0.9712237
445,1.078046,0.9419321,1.03418,0.9637383
446,0.5990346,1.298896,0.9868266,1.007072
447,1.350943,1.217708,1.006964,1.024572
448,1.342448,1.125115,1.014377,1.014901
449,0.9976497,0.7871522,1.011814,0.9848053
450,0.7483935,1.036484,0.9970734,1.010907
451,0.867969,0.7247249,0.991392,0.9931306
452,1.289046,1.246751,1.01093,1.025827
453,1.463403,1.086484,1.045432,1.030247
454,1.247317,1.29518,1.058245,1.076108
455,1.242087,1.241238,1.068849,1.050755
456,1.180107,0.6667686,1.062071,1.013052
457,0.8770511,1.269155,1.060985,1.022632
458,1.183663,0.6361787,1.055844,0.9835685
459,0.9480183,0.9651976,1.062053,0.9829891
460,0.8396553,1.053034,1.052709,0.9818803
461,-0.01529503,1.664208,0.9995706,1.015829
462,0.6769038,0.7091401,0.9998642,0.9977284
463,1.13031,1.367637,1.001157,1.023602
464,1.099087,1.089212,1.015756,1.017923
465,0.7192115,0.7017577,0.9924704,0.9692778
466,1.253929,1.03264,1.00821,0.9962969
467,0.7255163,1.192195,1.018733,1.029328
468,1.177184,0.6923224,1.039604,0.9998591
469,1.080908,0.7698606,1.0944,0.9412233
470,1.2844,1.049853,1.085175,0.9576665
471,0.936571,0.8035237,1.082939,0.9672325
472,0.6725572,0.938466,1.030099,0.9350555
473,0.9843289,1.086528,1.018025,0.9774969
474,1.212878,1.34085,1.005,1.018046
475,1.23451,0.8174852,1.014603,1.006014
476,0.9412406,0.7160574,1.010953,0.9915869
477,1.072756,1.340111,1.014641,1.006665
478,0.7795829,0.5942054,1.015841,0.990234
479,0.7430953,1.029174,1.009884,0.9762901
480,1.179904,0.5984609,1.032629,0.9778492
481,0.8750627,0.8588964,1.014731,0.9363395
482,0.8732439,0.757965,1.003469,0.9265209
483,0.5109001,0.7293994,0.9547685,0.920164
484,1.068167,0.8162978,0.9244439,0.907305
485,0.8938062,0.725281,0.9088897,0.9265096
486,0.7394087,0.9250148,0.9126232,0.9217225
487,1.027441,0.8360648,0.9467831,0.9481104
488,1.089152,1.034386,0.9726619,0.950976
489,1.268823,1.031723,1.009258,0.9515891
490,0.8547572,1.292346,0.9957038,0.9529782
491,0.7981139,1.199819,0.9785601,0.9682764
492,1.026219,0.6481476,1.031707,1.003339
493,0.9556233,0.963589,1.005322,1.029704
494,1.315939,0.6553848,0.9981142,0.9956432
495,1.22386,0.6511258,0.9937767,0.9704033
496,1.209945,0.8203483,0.9971337,0.9580912
497,1.062795,0.7716824,0.9615662,0.9755008
498,1.098201,1.159193,0.9806634,0.9744133
